	index	Albertin	Alon	HUGO	transcriptName
31	Dopeav2082063m	174.0	117.0	GCN1	Dopeav2082063m
32	Dopeav2041962m	173.0	130.0	TRIP12	Dopeav2041962m
33	Dopeav2066813m	170.0	128.0	CSDE1	Dopeav2066813m
34	Dopeav2063740m	169.0	118.0	NBR1	Dopeav2063740m
35	Dopeav2061683m	169.0	109.0	DYNC1H1	Dopeav2061683m
36	Dopeav2067597m	166.0	159.0	ALS2	Dopeav2067597m
37	Dopeav2003485m	165.0	95.0	FAM91A1	Dopeav2003485m
38	Dopeav2079748m	162.0	160.0	ABCA2	Dopeav2079748m
39	Dopeav2020829m	161.0	102.0	C18orf8	Dopeav2020829m
40	Dopeav2042038m	159.0	120.0	TRAPPC9	Dopeav2042038m
41	Dopeav2109882m	158.0	103.0	NCOR1	Dopeav2109882m
42	Dopeav2049118m	156.0	91.0	COL11A2	Dopeav2049118m
43	Dopeav2082431m	155.0	154.0	MCC	Dopeav2082431m
44	Dopeav2037692m	154.0	135.0	DIXDC1	Dopeav2037692m
45	Dopeav2079200m	151.0	125.0	CACNB2	Dopeav2079200m
46	Dopeav2009719m	150.0	106.0	PINK1	Dopeav2009719m
47	Dopeav2084485m	149.0	68.0	RASGRF1	Dopeav2084485m
48	Dopeav2060552m	149.0	113.0	UBR5	Dopeav2060552m
49	Dopeav2035893m	147.0	164.0	TDRD1	Dopeav2035893m
50	Dopeav2076228m	147.0	98.0	ROBO2	Dopeav2076228m
51	Dopeav2029320m	147.0	91.0	WDR11	Dopeav2029320m
52	Dopeav2078215m	147.0	82.0		Dopeav2078215m
53	Dopeav2096582m	147.0	103.0	TRIO	Dopeav2096582m
54	Dopeav2082886m	144.0	112.0	HDLBP	Dopeav2082886m
55	Dopeav2085193m	143.0	88.0	FLNA	Dopeav2085193m
56	Dopeav2115266m	138.0	131.0	UBR2	Dopeav2115266m
57	Dopeav2047560m	138.0	84.0	U2SURP	Dopeav2047560m
58	Dopeav2063172m	138.0	112.0	PABPC1	Dopeav2063172m
59	Dopeav2088121m	136.0	83.0	GBF1	Dopeav2088121m
60	Dopeav2030734m	135.0	77.0	DIP2C	Dopeav2030734m
61	Dopeav2051554m	132.0	105.0	ADD1	Dopeav2051554m
62	Dopeav2131749m	130.0	111.0	ANKRD50	Dopeav2131749m
63	Dopeav2051261m	129.0	149.0	KIFAP3	Dopeav2051261m
64	Dopeav2004921m	127.0	96.0	HECTD4	Dopeav2004921m
65	Dopeav2056917m	126.0	79.0	KIF5B	Dopeav2056917m
66	Dopeav2124003m	124.0	54.0		Dopeav2124003m
67	Dopeav2102720m	123.0	96.0	AGRN	Dopeav2102720m
68	Dopeav2016582m	123.0	110.0	SMG1	Dopeav2016582m
69	Dopeav2077954m	122.0	70.0	MYO3B	Dopeav2077954m
70	Dopeav2052279m	121.0	40.0	PCDHGB4	Dopeav2052279m
71	Dopeav2000819m	121.0	86.0	GTF2H1	Dopeav2000819m
72	Dopeav2073264m	120.0	64.0	JAKMIP2	Dopeav2073264m
73	Dopeav2073802m	119.0	145.0	VPS13A	Dopeav2073802m
74	Dopeav2091317m	118.0	72.0	PPP1R3B	Dopeav2091317m
75	Dopeav2091681m	117.0	121.0	USP7	Dopeav2091681m
76	Dopeav2007299m	117.0	72.0	ATP9B	Dopeav2007299m
77	Dopeav2039755m	117.0	123.0	KIAA0513	Dopeav2039755m
78	Dopeav2093804m	117.0	82.0	OXR1	Dopeav2093804m
79	Dopeav2129541m	116.0	110.0	KIF1A	Dopeav2129541m
80	Dopeav2024862m	116.0	37.0	ZFHX3	Dopeav2024862m
81	Dopeav2049049m	115.0	93.0	WDR47	Dopeav2049049m
82	Dopeav2058552m	115.0	73.0	SLC6A5	Dopeav2058552m
83	Dopeav2011285m	114.0	95.0	TNK2	Dopeav2011285m
84	Dopeav2085745m	114.0	79.0	PLXNA4	Dopeav2085745m
85	Dopeav2091200m	114.0	84.0	IQSEC1	Dopeav2091200m
86	Dopeav2007195m	114.0	68.0	HSP90B1	Dopeav2007195m
87	Dopeav2049482m	113.0	66.0	TSC1	Dopeav2049482m
88	Dopeav2026102m	113.0	84.0	COPA	Dopeav2026102m
89	Dopeav2035140m	113.0	57.0	SND1	Dopeav2035140m
90	Dopeav2082312m	112.0	95.0	TLN1	Dopeav2082312m
91	Dopeav2020161m	112.0	59.0	APC	Dopeav2020161m
92	Dopeav2126714m	111.0	43.0	CTNNB1	Dopeav2126714m
93	Dopeav2128529m	111.0	63.0	DCLK2	Dopeav2128529m
94	Dopeav2091405m	110.0	87.0	RAP1GDS1	Dopeav2091405m
95	Dopeav2060591m	110.0	103.0	CAND1	Dopeav2060591m
96	Dopeav2031807m	109.0	89.0	MRVI1	Dopeav2031807m
97	Dopeav2095279m	109.0	122.0	WNK3	Dopeav2095279m
98	Dopeav2082803m	107.0	102.0	GIGYF2	Dopeav2082803m
99	Dopeav2098584m	106.0	76.0	PRRC2C	Dopeav2098584m
100	Dopeav2055968m	106.0	62.0	KY	Dopeav2055968m
101	Dopeav2031749m	106.0	120.0	UBR4	Dopeav2031749m
102	Dopeav2022538m	104.0	73.0	EFR3A	Dopeav2022538m
103	Dopeav2082230m	104.0	76.0	GAK	Dopeav2082230m
104	Dopeav2097393m	103.0	107.0	VPS8	Dopeav2097393m
105	Dopeav2032549m	102.0	60.0	CELF2	Dopeav2032549m
106	Dopeav2053304m	101.0	41.0	PCDHGC4	Dopeav2053304m
107	Dopeav2025901m	101.0	62.0	RPS6	Dopeav2025901m
108	Dopeav2062773m	101.0	103.0	STXBP5	Dopeav2062773m
109	Dopeav2039074m	101.0	91.0		Dopeav2039074m
110	Dopeav2036037m	101.0	58.0	MYO7A	Dopeav2036037m
111	Dopeav2040483m	100.0	91.0	ARHGAP32	Dopeav2040483m
112	Dopeav2057166m	100.0	63.0	ARID2	Dopeav2057166m
113	Dopeav2134488m	99.0	61.0	OGDH	Dopeav2134488m
114	Dopeav2084115m	99.0	64.0	MICU1	Dopeav2084115m
115	Dopeav2079696m	99.0	60.0	GAPVD1	Dopeav2079696m
116	Dopeav2063676m	99.0	95.0	CSPG4	Dopeav2063676m
117	Dopeav2117749m	99.0	68.0	CNOT1	Dopeav2117749m
118	Dopeav2014105m	99.0	69.0		Dopeav2014105m
119	Dopeav2133796m	99.0	59.0	WDFY3	Dopeav2133796m
120	Dopeav2016678m	99.0	49.0	SBF2	Dopeav2016678m
121	Dopeav2038256m	98.0	58.0	APBB2	Dopeav2038256m
122	Dopeav2079956m	98.0	80.0	DMD	Dopeav2079956m
123	Dopeav2104647m	97.0	115.0	RALGAPA2	Dopeav2104647m
124	Dopeav2018105m	97.0	90.0	CKAP5	Dopeav2018105m
125	Dopeav2064670m	96.0	42.0	REV3L	Dopeav2064670m
126	Dopeav2020549m	96.0	70.0	TNPO1	Dopeav2020549m
127	Dopeav2045425m	96.0	57.0	PTK2	Dopeav2045425m
128	Dopeav2021906m	96.0	49.0	CAD	Dopeav2021906m
129	Dopeav2036329m	95.0	88.0	KIAA0368	Dopeav2036329m
130	Dopeav2011049m	95.0	52.0	ZFR	Dopeav2011049m
131	Dopeav2115907m	95.0	80.0	DYRK2	Dopeav2115907m
132	Dopeav2103567m	95.0	58.0	FEZ2	Dopeav2103567m
133	Dopeav2035116m	95.0	69.0	STAG1	Dopeav2035116m
134	Dopeav2051194m	94.0	75.0	SYAP1	Dopeav2051194m
135	Dopeav2018109m	93.0	41.0	NCL	Dopeav2018109m
136	Dopeav2082819m	93.0	108.0	USP24	Dopeav2082819m
137	Dopeav2074167m	93.0	77.0	TACC1	Dopeav2074167m
138	Dopeav2063918m	93.0	50.0	PPP1R9A	Dopeav2063918m
139	Dopeav2130611m	93.0	38.0	AP2B1	Dopeav2130611m
140	Dopeav2128628m	92.0	67.0	ZNF333	Dopeav2128628m
141	Dopeav2117292m	92.0	46.0	EEF2	Dopeav2117292m
142	Dopeav2079183m	92.0	49.0	LTN1	Dopeav2079183m
143	Dopeav2130739m	91.0	79.0	NBEA	Dopeav2130739m
144	Dopeav2118551m	91.0	86.0	AGAP1	Dopeav2118551m
145	Dopeav2107263m	90.0	60.0	TENM3	Dopeav2107263m
146	Dopeav2040392m	90.0	84.0	EXOC2	Dopeav2040392m
147	Dopeav2083854m	89.0	65.0	FRMD4A	Dopeav2083854m
148	Dopeav2058140m	89.0	54.0	MED24	Dopeav2058140m
149	Dopeav2122776m	89.0	62.0	UBA1	Dopeav2122776m
150	Dopeav2103881m	89.0	57.0	STON2	Dopeav2103881m
151	Dopeav2108414m	88.0	66.0	KIDINS220	Dopeav2108414m
152	Dopeav2040671m	88.0	68.0		Dopeav2040671m
153	Dopeav2059062m	88.0	63.0	KCNH7	Dopeav2059062m
154	Dopeav2132247m	88.0	50.0	SMARCD1	Dopeav2132247m
155	Dopeav2130677m	88.0	81.0	MAPK8IP3	Dopeav2130677m
156	Dopeav2065937m	87.0	75.0	MADD	Dopeav2065937m
157	Dopeav2124844m	87.0	78.0	VPS35	Dopeav2124844m
158	Dopeav2100047m	87.0	74.0	SEC16A	Dopeav2100047m
159	Dopeav2030930m	86.0	54.0	VPS13A	Dopeav2030930m
160	Dopeav2081064m	86.0	57.0	AP4E1	Dopeav2081064m
161	Dopeav2000612m	86.0	70.0	ATP8A1	Dopeav2000612m
162	Dopeav2016569m	86.0	45.0	EIF3L	Dopeav2016569m
163	Dopeav2006476m	85.0	46.0	SREBF1	Dopeav2006476m
164	Dopeav2135842m	85.0	39.0	ACO1	Dopeav2135842m
165	Dopeav2008753m	85.0	81.0		Dopeav2008753m
166	Dopeav2045825m	84.0	70.0	RB1CC1	Dopeav2045825m
167	Dopeav2135788m	84.0	85.0	RUSC2	Dopeav2135788m
168	Dopeav2038332m	84.0	44.0	MDN1	Dopeav2038332m
169	Dopeav2074605m	84.0	78.0	PIP5K1A	Dopeav2074605m
170	Dopeav2068747m	84.0	46.0		Dopeav2068747m
171	Dopeav2003920m	84.0	25.0	VCP	Dopeav2003920m
172	Dopeav2047346m	83.0	76.0	WASHC5	Dopeav2047346m
173	Dopeav2104520m	83.0	77.0	RTN4	Dopeav2104520m
174	Dopeav2105809m	83.0	57.0	EML1	Dopeav2105809m
175	Dopeav2097029m	83.0	53.0	KDM1A	Dopeav2097029m
176	Dopeav2107724m	83.0	79.0	DHRS11	Dopeav2107724m
177	Dopeav2049976m	83.0	50.0	MPP7	Dopeav2049976m
178	Dopeav2107013m	83.0	60.0	KIAA1109	Dopeav2107013m
179	Dopeav2049810m	82.0	56.0	PTPN4	Dopeav2049810m
180	Dopeav2099117m	82.0	58.0	EDC4	Dopeav2099117m
181	Dopeav2090350m	82.0	55.0	TBCD	Dopeav2090350m
182	Dopeav2017022m	82.0	50.0	DDB1	Dopeav2017022m
183	Dopeav2095500m	82.0	71.0	NRXN1	Dopeav2095500m
184	Dopeav2076299m	81.0	51.0	PPP2R1A	Dopeav2076299m
185	Dopeav2064426m	81.0	44.0	EIF4G2	Dopeav2064426m
186	Dopeav2090202m	81.0	63.0	KAT6B	Dopeav2090202m
187	Dopeav2103858m	80.0	63.0	PLEKHH1	Dopeav2103858m
188	Dopeav2124846m	80.0	41.0	SEPHS1	Dopeav2124846m
189	Dopeav2070727m	80.0	100.0	MPRIP	Dopeav2070727m
190	Dopeav2012689m	79.0	76.0	MICAL3	Dopeav2012689m
191	Dopeav2115891m	79.0	69.0	NCKAP1	Dopeav2115891m
192	Dopeav2090605m	79.0	31.0	HNRNPUL1	Dopeav2090605m
193	Dopeav2131197m	79.0	82.0	FCHSD2	Dopeav2131197m
194	Dopeav2078219m	78.0	66.0		Dopeav2078219m
195	Dopeav2100018m	78.0	40.0	PSAP	Dopeav2100018m
196	Dopeav2125523m	78.0	63.0	MON1A	Dopeav2125523m
197	Dopeav2005856m	78.0	29.0	NF1	Dopeav2005856m
198	Dopeav2061466m	78.0	56.0	C1orf216	Dopeav2061466m
199	Dopeav2135751m	78.0	64.0	KCMF1	Dopeav2135751m
200	Dopeav2053306m	78.0	19.0	PCDH17	Dopeav2053306m
201	Dopeav2015956m	78.0	58.0	NUP205	Dopeav2015956m
202	Dopeav2104885m	77.0	72.0	SCN2A	Dopeav2104885m
203	Dopeav2105434m	77.0	45.0	HNRNPUL1	Dopeav2105434m
204	Dopeav2105913m	77.0	66.0	TTC5	Dopeav2105913m
205	Dopeav2062201m	77.0	66.0	ASAP1	Dopeav2062201m
206	Dopeav2001252m	77.0	57.0	MIB1	Dopeav2001252m
207	Dopeav2079737m	77.0	53.0	BAG6	Dopeav2079737m
208	Dopeav2073705m	76.0	46.0	MGEA5	Dopeav2073705m
209	Dopeav2094643m	76.0	47.0	G3BP2	Dopeav2094643m
210	Dopeav2126376m	75.0	70.0	MEGF8	Dopeav2126376m
211	Dopeav2019172m	75.0	38.0	DDX21	Dopeav2019172m
212	Dopeav2019044m	75.0	46.0	HNRNPD	Dopeav2019044m
213	Dopeav2042583m	74.0	51.0	DGKQ	Dopeav2042583m
214	Dopeav2060092m	73.0	21.0	PYGB	Dopeav2060092m
215	Dopeav2023415m	73.0	47.0	MACF1	Dopeav2023415m
216	Dopeav2134157m	73.0	43.0	SEL1L	Dopeav2134157m
217	Dopeav2093202m	73.0	36.0	NNT	Dopeav2093202m
218	Dopeav2118490m	73.0	68.0	GPATCH8	Dopeav2118490m
219	Dopeav2043275m	73.0	46.0	RAVER2	Dopeav2043275m
220	Dopeav2016564m	73.0	45.0	SGSM3	Dopeav2016564m
221	Dopeav2053061m	72.0	41.0	PCDHGB4	Dopeav2053061m
222	Dopeav2098593m	72.0	47.0	PRRC2C	Dopeav2098593m
223	Dopeav2045222m	72.0	52.0	ADGRL3	Dopeav2045222m
224	Dopeav2045563m	72.0	63.0	C9orf72	Dopeav2045563m
225	Dopeav2051811m	72.0	50.0	PCDHA2	Dopeav2051811m
226	Dopeav2063605m	72.0	66.0	PDE4DIP	Dopeav2063605m
227	Dopeav2012194m	72.0	77.0	LARP6	Dopeav2012194m
228	Dopeav2049471m	71.0	37.0	PIP4K2B	Dopeav2049471m
229	Dopeav2033282m	71.0	64.0	TEX2	Dopeav2033282m
230	Dopeav2088245m	71.0	52.0	TANC2	Dopeav2088245m
231	Dopeav2040468m	71.0	64.0	CBLB	Dopeav2040468m
232	Dopeav2095807m	71.0	75.0	FHL2	Dopeav2095807m
233	Dopeav2009422m	71.0	52.0	DAPK1	Dopeav2009422m
234	Dopeav2067967m	71.0	61.0	HECW2	Dopeav2067967m
235	Dopeav2014097m	71.0	43.0		Dopeav2014097m
236	Dopeav2029337m	71.0	64.0	ALDH18A1	Dopeav2029337m
237	Dopeav2129199m	71.0	74.0	SARM1	Dopeav2129199m
238	Dopeav2128919m	70.0	47.0	PSMC2	Dopeav2128919m
239	Dopeav2056123m	70.0	51.0	YLPM1	Dopeav2056123m
240	Dopeav2040179m	70.0	41.0	AMPD2	Dopeav2040179m
241	Dopeav2124144m	70.0	21.0	CD109	Dopeav2124144m
242	Dopeav2135971m	70.0	56.0	SEC23IP	Dopeav2135971m
243	Dopeav2112863m	70.0	38.0	HSPA8	Dopeav2112863m
244	Dopeav2113907m	70.0	35.0	SALL1	Dopeav2113907m
245	Dopeav2029054m	69.0	34.0	TIA1	Dopeav2029054m
246	Dopeav2068869m	69.0	35.0	MIPEP	Dopeav2068869m
247	Dopeav2028696m	69.0	34.0	RMND5A	Dopeav2028696m
248	Dopeav2126474m	69.0	53.0	ZER1	Dopeav2126474m
249	Dopeav2020139m	69.0	45.0	TJP1	Dopeav2020139m
250	Dopeav2031431m	68.0	45.0	SYT1	Dopeav2031431m
251	Dopeav2031931m	68.0	56.0	DST	Dopeav2031931m
252	Dopeav2131306m	68.0	62.0	TRAPPC11	Dopeav2131306m
253	Dopeav2117790m	68.0	54.0	WDR7	Dopeav2117790m
254	Dopeav2112568m	68.0	24.0	GTPBP4	Dopeav2112568m
255	Dopeav2051650m	68.0	40.0	PCDHGB1	Dopeav2051650m
256	Dopeav2037539m	68.0	28.0	IMPDH2	Dopeav2037539m
257	Dopeav2068866m	68.0	44.0	TMEM94	Dopeav2068866m
258	Dopeav2106104m	68.0	68.0	TRIP11	Dopeav2106104m
259	Dopeav2045679m	67.0	36.0	CCT8	Dopeav2045679m
260	Dopeav2050371m	67.0	37.0	UBAP2	Dopeav2050371m
261	Dopeav2044388m	67.0	53.0	RIC1	Dopeav2044388m
262	Dopeav2088912m	67.0	76.0	UBE2O	Dopeav2088912m
263	Dopeav2134938m	67.0	54.0	FLII	Dopeav2134938m
264	Dopeav2103591m	66.0	53.0	FBXO21	Dopeav2103591m
265	Dopeav2001839m	66.0	55.0	ASXL2	Dopeav2001839m
266	Dopeav2048485m	66.0	48.0	ARIH1	Dopeav2048485m
267	Dopeav2032918m	66.0	50.0	CDC27	Dopeav2032918m
268	Dopeav2097403m	66.0	33.0	P4HB	Dopeav2097403m
269	Dopeav2051279m	65.0	30.0	ACO2	Dopeav2051279m
270	Dopeav2012885m	65.0	65.0	NBAS	Dopeav2012885m
271	Dopeav2043587m	65.0	57.0	TDRD1	Dopeav2043587m
272	Dopeav2038683m	65.0	50.0	NCAM1	Dopeav2038683m
273	Dopeav2126105m	65.0	66.0	RAPGEF1	Dopeav2126105m
274	Dopeav2098637m	65.0	35.0		Dopeav2098637m
275	Dopeav2000891m	65.0	62.0	TPR	Dopeav2000891m
276	Dopeav2008482m	65.0	41.0	SQSTM1	Dopeav2008482m
277	Dopeav2120373m	64.0	53.0	CUL4A	Dopeav2120373m
278	Dopeav2049949m	64.0	45.0	OSBPL6	Dopeav2049949m
279	Dopeav2118106m	64.0	70.0	AC243734.1	Dopeav2118106m
280	Dopeav2063158m	64.0	54.0	CDR2L	Dopeav2063158m
281	Dopeav2115281m	64.0	29.0	XPO5	Dopeav2115281m
282	Dopeav2114116m	64.0	43.0	BAZ2B	Dopeav2114116m
283	Dopeav2052087m	64.0	29.0	PCDHGB6	Dopeav2052087m
284	Dopeav2043260m	64.0	29.0	MPDZ	Dopeav2043260m
285	Dopeav2052281m	64.0	23.0	PCDHGB4	Dopeav2052281m
286	Dopeav2079712m	64.0	34.0	TUBA1C	Dopeav2079712m
287	Dopeav2036083m	63.0	47.0	TSPAN7	Dopeav2036083m
288	Dopeav2112596m	63.0	72.0	DMXL2	Dopeav2112596m
289	Dopeav2051079m	63.0	54.0	NDE1	Dopeav2051079m
290	Dopeav2070941m	63.0	34.0	NISCH	Dopeav2070941m
291	Dopeav2024202m	63.0	43.0	THSD7A	Dopeav2024202m
292	Dopeav2037000m	62.0	52.0	THOP1	Dopeav2037000m
293	Dopeav2006420m	62.0	54.0	ANKFY1	Dopeav2006420m
294	Dopeav2015372m	62.0	68.0		Dopeav2015372m
295	Dopeav2073444m	62.0	71.0	PRUNE1	Dopeav2073444m
296	Dopeav2030631m	62.0	35.0	UNC80	Dopeav2030631m
297	Dopeav2129127m	62.0	34.0	CPD	Dopeav2129127m
298	Dopeav2027251m	61.0	43.0	LRFN5	Dopeav2027251m
299	Dopeav2135687m	61.0	68.0	DCTN1	Dopeav2135687m
300	Dopeav2049319m	61.0	44.0	PIKFYVE	Dopeav2049319m
301	Dopeav2045941m	61.0	46.0	DTNB	Dopeav2045941m
302	Dopeav2107773m	61.0	62.0	EPB41L3	Dopeav2107773m
303	Dopeav2072150m	61.0	50.0	SIN3A	Dopeav2072150m
304	Dopeav2114601m	61.0	57.0	SRPK1	Dopeav2114601m
305	Dopeav2049713m	61.0	38.0	LMNA	Dopeav2049713m
306	Dopeav2038287m	60.0	34.0	ZFP2	Dopeav2038287m
307	Dopeav2069563m	60.0	38.0	UBQLN1	Dopeav2069563m
308	Dopeav2069420m	60.0	52.0	IPO5	Dopeav2069420m
309	Dopeav2041706m	60.0	57.0	TEP1	Dopeav2041706m
310	Dopeav2005484m	60.0	24.0	SGSM1	Dopeav2005484m
311	Dopeav2060389m	60.0	32.0	NRDE2	Dopeav2060389m
312	Dopeav2120680m	60.0	34.0	SLC9A9	Dopeav2120680m
313	Dopeav2062053m	60.0	33.0	SVEP1	Dopeav2062053m
314	Dopeav2036644m	60.0	37.0	NRDC	Dopeav2036644m
315	Dopeav2052443m	60.0	31.0	FAM53A	Dopeav2052443m
316	Dopeav2073819m	60.0	34.0	HBS1L	Dopeav2073819m
317	Dopeav2084935m	59.0	46.0	IPO9	Dopeav2084935m
318	Dopeav2016251m	59.0	51.0	VPS18	Dopeav2016251m
319	Dopeav2130675m	59.0	57.0	MAPK8IP3	Dopeav2130675m
320	Dopeav2087539m	59.0	29.0	GPI	Dopeav2087539m
321	Dopeav2028687m	59.0	41.0	FAM193A	Dopeav2028687m
322	Dopeav2062415m	59.0	39.0	DLAT	Dopeav2062415m
323	Dopeav2124676m	59.0	50.0	CADPS	Dopeav2124676m
324	Dopeav2045508m	59.0	50.0	ARFGEF1	Dopeav2045508m
325	Dopeav2067941m	59.0	37.0	RAPGEF4	Dopeav2067941m
326	Dopeav2115313m	59.0	49.0	BPNT1	Dopeav2115313m
327	Dopeav2038751m	59.0	46.0	NOMO1	Dopeav2038751m
328	Dopeav2002668m	59.0	59.0	TRIM2	Dopeav2002668m
329	Dopeav2033418m	59.0	61.0	OTUD7B	Dopeav2033418m
330	Dopeav2124225m	59.0	36.0	TBK1	Dopeav2124225m
331	Dopeav2015356m	59.0	30.0	PCSK1	Dopeav2015356m
332	Dopeav2089863m	59.0	32.0	RASSF1	Dopeav2089863m
333	Dopeav2113464m	59.0	35.0	VIRMA	Dopeav2113464m
334	Dopeav2067710m	58.0	48.0	MAP3K12	Dopeav2067710m
335	Dopeav2010854m	58.0	48.0	UBE4B	Dopeav2010854m
336	Dopeav2117718m	58.0	32.0	COL24A1	Dopeav2117718m
337	Dopeav2021834m	58.0	40.0	DAB2	Dopeav2021834m
338	Dopeav2050889m	58.0	50.0	SEMA5B	Dopeav2050889m
339	Dopeav2024924m	58.0	45.0	DGKB	Dopeav2024924m
340	Dopeav2096577m	58.0	35.0	TRAPPC10	Dopeav2096577m
341	Dopeav2128274m	58.0	42.0		Dopeav2128274m
342	Dopeav2109473m	58.0	48.0	MAST4	Dopeav2109473m
343	Dopeav2077588m	58.0	61.0	ARHGEF12	Dopeav2077588m
344	Dopeav2117712m	58.0	28.0	COL1A2	Dopeav2117712m
345	Dopeav2091166m	58.0	45.0	ARHGAP5	Dopeav2091166m
346	Dopeav2094622m	58.0	43.0	SRGAP1	Dopeav2094622m
347	Dopeav2127190m	57.0	47.0	RAB3GAP1	Dopeav2127190m
348	Dopeav2023528m	57.0	36.0	AP3D1	Dopeav2023528m
349	Dopeav2135834m	57.0	29.0	PKM	Dopeav2135834m
350	Dopeav2129413m	57.0	34.0	MMP17	Dopeav2129413m
351	Dopeav2062637m	57.0	25.0	ZAN	Dopeav2062637m
352	Dopeav2117474m	57.0	39.0	MANBA	Dopeav2117474m
353	Dopeav2109824m	57.0	49.0	SEPT4	Dopeav2109824m
354	Dopeav2105405m	57.0	52.0	ENAH	Dopeav2105405m
355	Dopeav2104601m	57.0	40.0	PHF10	Dopeav2104601m
356	Dopeav2128389m	57.0	33.0	CCDC92	Dopeav2128389m
357	Dopeav2103394m	57.0	63.0	PCNX1	Dopeav2103394m
358	Dopeav2013363m	57.0	39.0	RET	Dopeav2013363m
359	Dopeav2119757m	56.0	40.0	SCAF4	Dopeav2119757m
360	Dopeav2009225m	56.0	33.0	DENND4A	Dopeav2009225m
361	Dopeav2028534m	56.0	26.0	CCT7	Dopeav2028534m
362	Dopeav2068838m	56.0	41.0	LTBR	Dopeav2068838m
363	Dopeav2057881m	56.0	45.0	STK39	Dopeav2057881m
364	Dopeav2098395m	56.0	48.0	NELL1	Dopeav2098395m
365	Dopeav2038222m	56.0	30.0	APP	Dopeav2038222m
366	Dopeav2096502m	56.0	47.0	DAB2IP	Dopeav2096502m
367	Dopeav2080216m	56.0	5.0	TRIM56	Dopeav2080216m
368	Dopeav2018827m	56.0	28.0	EIF3M	Dopeav2018827m
369	Dopeav2095765m	56.0	30.0	UBE4A	Dopeav2095765m
370	Dopeav2130258m	56.0	40.0		Dopeav2130258m
371	Dopeav2002397m	55.0	43.0	FAT1	Dopeav2002397m
372	Dopeav2096278m	55.0	32.0	BTAF1	Dopeav2096278m
373	Dopeav2041558m	55.0	18.0	DPYD	Dopeav2041558m
374	Dopeav2028506m	55.0	29.0	PUF60	Dopeav2028506m
375	Dopeav2101283m	55.0	49.0	MYO1C	Dopeav2101283m
376	Dopeav2071198m	55.0	34.0	OPA1	Dopeav2071198m
377	Dopeav2025847m	55.0	42.0	PRKAR1A	Dopeav2025847m
378	Dopeav2067880m	55.0	50.0		Dopeav2067880m
379	Dopeav2040548m	55.0	33.0	GRINA	Dopeav2040548m
380	Dopeav2094165m	55.0	35.0	SMCHD1	Dopeav2094165m
381	Dopeav2027608m	55.0	44.0	EXD2	Dopeav2027608m
382	Dopeav2065139m	54.0	35.0	HPS3	Dopeav2065139m
383	Dopeav2123002m	54.0	44.0	CAMK2D	Dopeav2123002m
384	Dopeav2088963m	54.0	30.0	NARS	Dopeav2088963m
385	Dopeav2118607m	54.0	29.0	PIAS2	Dopeav2118607m
386	Dopeav2104286m	54.0	31.0	PMPCB	Dopeav2104286m
387	Dopeav2063126m	54.0	60.0	GPD2	Dopeav2063126m
388	Dopeav2032873m	54.0	28.0		Dopeav2032873m
389	Dopeav2131375m	54.0	34.0	HERC2	Dopeav2131375m
390	Dopeav2092855m	54.0	56.0	CACNA2D3	Dopeav2092855m
391	Dopeav2088644m	54.0	43.0	DYNC1LI2	Dopeav2088644m
